state,year_month,disaster_count
AK,1953-10,1
AK,1954-11,1
AK,1955-12,1
AK,1964-03,1
AK,1967-08,1
AK,1969-12,1
AK,1970-06,1
AK,1971-06,2
AK,1973-05,1
AK,1973-11,1
AK,1974-06,1
AK,1974-09,1
AK,1974-11,1
AK,1975-12,1
AK,1986-09,1
AK,1986-10,1
AK,1988-02,1
AK,1989-01,1
AK,1989-05,1
AK,1990-07,1
AK,1991-04,1
AK,1991-07,1
AK,1994-08,1
AK,1995-09,1
AK,1996-06,2
AK,1999-12,1
AK,2001-06,1
AK,2002-04,1
AK,2002-10,1
AK,2002-11,1
AK,2003-03,1
AK,2004-06,1
AK,2004-07,1
AK,2004-08,1
AK,2004-10,1
AK,2005-01,1
AK,2005-09,1
AK,2006-05,1
AK,2006-06,1
AK,2006-08,2
AK,2006-10,1
AK,2007-06,1
AK,2008-07,1
AK,2009-04,1
AK,2009-05,1
AK,2009-10,1
AK,2011-05,2
AK,2011-11,2
AK,2012-09,1
AK,2013-05,1
AK,2013-10,1
AK,2013-11,1
AK,2015-06,2
AK,2015-08,1
AK,2015-12,1
AK,2017-09,1
AK,2017-12,1
AK,2018-05,1
AK,2018-11,2
AK,2019-06,1
AK,2019-08,2
AK,2020-01,2
AK,2020-11,1
AK,2021-10,1
AK,2021-12,1
AK,2022-01,1
AK,2022-05,2
AK,2022-06,1
AK,2022-09,1
AK,2023-05,1
AK,2023-08,1
AK,2023-11,2
AK,2024-08,4
AK,2024-10,1
AK,2025-06,2
AK,2025-07,1
AK,2025-10,2
AK,2025-12,1
AL,1961-02,1
AL,1969-11,1
AL,1970-04,1
AL,1973-03,1
AL,1973-05,1
AL,1974-04,1
AL,1975-01,1
AL,1975-03,1
AL,1975-04,1
AL,1975-10,1
AL,1977-04,1
AL,1977-07,1
AL,1978-04,1
AL,1978-08,1
AL,1979-03,1
AL,1979-04,1
AL,1979-09,1
AL,1980-04,1
AL,1981-04,1
AL,1981-05,1
AL,1983-12,1
AL,1984-05,1
AL,1985-08,1
AL,1989-11,1
AL,1990-02,1
AL,1990-03,1
AL,1990-12,1
AL,1993-03,1
AL,1994-01,1
AL,1994-03,1
AL,1994-07,1
AL,1995-02,1
AL,1995-10,1
AL,1996-02,1
AL,1996-03,1
AL,1997-07,1
AL,1998-03,1
AL,1998-04,1
AL,1998-09,3
AL,1998-12,1
AL,1999-09,6
AL,2000-01,1
AL,2000-03,1
AL,2000-09,1
AL,2000-12,1
